TCGA-AA-3664-01,TCGA-AA-3715-01,TCGA-AA-A01P-01,TCGA-AA-A022-01,TCGA-AA-A02R-01
1.1244,3.435,-1.0827,0.4818,0.5087
-1.9198,-0.069,0.7195,2.842,-1.5459
0.0484,2.4942,1.0525,0.5973,2.9206
-2.1473,-0.0576,-1.7316,1.5957,-2.1473
-1.1644,2.1732,-0.8152,-1.1644,1.1781
0.0982,5.395,-0.978,-0.5669,0.1954
0.4436,3.7674,-0.2641,-2.3645,-1.0822
-0.0487,3.6184,-0.3323,-0.2515,1.0821
-0.894,0.2424,-4.4751,0.2213,-1.0976
-0.0906,3.1786,1.4185,0.8445,-0.6808
-0.985,-0.4908,-0.517,-1.5763,-3.3081
-0.2883,0.0135,3.4085,-0.6817,0.682
-0.3826,0.9831,3.1457,0.074,0.6036
1.2287,3.2231,1.8343,0.5483,1.976
0.0085,3.3759,0.3553,-0.8229,-0.0135
0.5658,1.8447,-0.9522,2.4857,-3.2902
-0.0969,1.2272,4.3449,2.3273,2.931
0.0788,-0.7606,-0.888,-0.7699,-3.8223
1.1987,-2.7422,-2.6102,0.7817,1.2702
0.8971,-1.8574,2.5683,1.2913,-3.3059
-2.038,-2.038,-0.6271,2.1672,0.3323
0.0743,0.6262,0.2309,-3.3074,0.7649
0.1584,-1.2957,-0.594,-2.7262,-3.721
-1.6926,1.0926,1.7622,2.7583,-0.2022
1.6919,0.6524,0.1489,1.5906,3.3281
-1.6135,2.2147,-0.9064,4.0244,0.6718
0.8145,1.127,1.6358,3.9196,2.6438
0.3137,-1.0552,-1.5158,-0.8679,-3.7977
-1.3144,-1.2706,-0.0509,-2.5402,0.6692
-1.5965,1.2888,1.8539,1.735,-1.5965
0.2568,-0.6608,-0.1684,-5.5343,-0.7991
2.1257,0.8287,-1.7812,3.1442,1.0001
-2.2811,-1.7274,0.1446,0.7357,-2.342
0.5169,-2.4654,-0.3821,1.4283,-2.8
1.3635,-3.3246,0.0962,0.7435,-2.5554
-1.8286,-1.8286,1.428,1.843,-1.8286
-0.2787,0.5828,-0.787,5.0111,-0.7843
-1.7487,-1.7487,-1.7487,-1.7487,1.5006
1.9039,2.3053,1.7029,1.2297,-0.3723
2.2923,-0.1366,-0.8605,0.9054,-2.2861
-2.1838,-2.1838,-0.4602,-2.1838,1.1506
-0.8298,-2.4787,-2.7061,0.416,0.0576
2.1999,2.527,2.6907,2.5205,2.8717
-1.0703,0.9061,-2.626,0.6947,0.5003
1.0254,0.8249,3.2204,0.6664,1.9742
0.9505,-0.8187,1.1539,3.1872,-0.9695
-0.6231,-1.3919,0.089,1.6927,-2.6172
0.7496,-1.9652,-3.029,-0.6677,-0.8656
0.1549,-2.0608,-4.0887,-0.6706,-2.5703
0.2222,-2.0312,-0.0339,-2.4636,-4.8155
0.5392,-2.3897,-1.9391,-2.044,0.4923
-0.6668,3.0344,2.8851,1.0093,-0.9387
-1.9259,-0.7405,-0.9297,-2.5669,-0.3876
0.3899,-1.3637,-0.9804,0.2521,4.2077
0.2298,0.9846,0.8448,0.0795,-3.9405
-0.3609,-0.54,-2.1475,0.7723,-4.4259
-0.5899,-0.0968,-1.3896,-2.9251,-3.2861
0.2564,-0.8953,-0.0488,-0.2427,-4.2706
1.9282,-0.6506,2.6921,-0.4284,2.3553
-1.2683,0.5094,-0.344,5.7415,-1.2683
1.7776,0.103,1.4543,1.1348,2.6266
0.6443,2.9625,1.2417,2.7733,3.2821
-2.1618,-0.3475,-0.2366,-0.5621,-2.822
-0.9995,3.2788,0.9767,0.7822,-2.2699
-0.9818,0.7157,1.7556,3.4325,1.0083
2.4785,2.4211,1.5281,1.1611,0.9269
1.0358,2.2653,-1.3085,0.8248,0.2648
1.8246,1.245,-1.1969,1.6519,1.5062
-0.385,0.0016,-2.8657,-0.6198,1.0643
2.3002,2.1816,0.6533,-0.194,1.8073
0.1464,4.069,-0.4857,3.2212,0.5423
1.2569,0.5489,-0.0905,-3.2909,-1.3049
0.468,0.6133,-2.4286,0.0125,-2.3452
-1.0636,-2.9111,-1.2838,-1.754,-2.5422
-0.0624,2.2612,1.3408,4.2181,2.1006
1.5849,-1.7691,1.0576,2.0125,-1.7691
0.8499,-2.7299,-3.0436,0.9797,-1.7391
1.396,-0.7037,0.4936,-2.9818,-2.7997
-0.7724,2.37,0.6645,0.0469,2.5935
-0.3649,1.6915,0.7136,-2.5858,0.8362
0.8097,-2.7181,0.2657,-0.2909,-3.8406
-1.2379,-1.7634,-1.7634,3.3841,0.301
0.9078,0.904,-2.045,0.7098,-1.7607
-1.5223,-3.0627,0.9616,0.4269,-1.3714
-0.0429,-2.0211,0.2298,-1.5502,-3.4105
-0.8548,-3.6986,-3.9174,-1.094,-0.9676
-0.9796,-2.6425,-2.3156,-0.2651,-2.8607
-2.0555,-0.5059,-2.0555,-2.0555,-1.0618
-0.106,-0.3727,-2.4935,-1.0124,-2.9237
-0.8165,1.7295,-0.9553,1.7853,-1.5112
-0.0072,2.2074,-0.4475,2.9711,-0.689
-0.0786,2.435,0.3761,-2.6,1.1892
0.7718,0.0371,1.946,-3.1369,-1.2713
0.0707,2.9149,0.0747,3.5248,2.0035
-1.5978,0.3458,0.6117,3.8982,-0.8881
2.0057,1.5368,-1.5431,1.488,-2.6688
-3.197,-1.3657,-0.2391,-0.191,-1.6833
-2.6242,-1.026,-0.7176,1.6433,-0.9864
-2.602,0.2409,1.6428,-0.5399,0.4203
-0.089,2.2738,-1.8475,-1.7282,-2.1976
-0.4116,1.3799,0.6606,-1.2171,2.5165
1.5864,0.8656,1.1773,2.5405,-1.9412
-1.3592,0.2588,-1.919,-0.6856,-2.7187
-1.8871,-0.383,0.6083,3.6322,-0.899
1.3075,-1.2936,-0.0131,-4.0398,-0.2071
-1.0667,1.2471,-0.3529,4.2319,-0.4852
-0.0251,-3.8482,-0.9593,0.2287,-1.9588
1.2335,3.5145,-1.4356,1.0636,0.4774
0.6408,0.6984,1.4192,2.1667,4.4845
0.3434,-2.1501,0.1664,-3.0878,-2.613
-0.0882,-3.4943,-5.3391,0.2668,-0.6611
0.1061,-2.9462,0.1267,1.9599,-1.5186
